Felidae,Canidae
Plexippus paykulli,Plexippus petersi
Attulus pubescens,Attulus fasciger
Carrhotus xanthogramma,Carrhotus sannio
Habronattus coecatus,Habronattus pyrrithrix
Pellenes tripunctatus,Pellenes nigrociliatus
Synageles venator,Synageles occidentalis
Icius hamatus,Icius subinermis
Saitis barbipes,Saitis tauricus
Euophrys frontalis,Euophrys herbigrada
Lyssomanes viridis,Lyssomanes portoricensis
Portia fimbriata,Portia labiata
Hyllus diardi,Hyllus semicupreus
Thyene imperialis,Thyene coccineovittata
Pseudicius encarpatus,Pseudicius badius
Aelurillus v-insignitus,Aelurillus aeruginosus
Cosmophasis thalassina,Cosmophasis micarioides
Epeus flavobilineatus,Epeus indicus
Icius,Pancorius
Harmochirus brachiatus,Harmochirus luculentus
Holcolaetis vellerea,Holcolaetis zuluensis
Mopsus mormon,Sandalodes bipenicillatus
Mopsus mormon,Epeus flavobilineatus
Phintelloides versicolor,Phintella vittata
Telamonia dimidiata,Telamonia festiva
Araneus diadematus,Araneus marmoreus
Argiope bruennichi,Argiope trifasciata
Latrodectus mactans,Latrodectus hesperus
Loxosceles reclusa,Loxosceles laeta
Tegenaria domestica,Eratigena atrica
Pholcus phalangioides,Holocnemus pluchei
Misumena vatia,Thomisus onustus
Salticus scenicus,Menemerus semilimbatus
Lycosa tarantula,Hogna carolinensis
Pisaurina mira,Dolomedes tenebrosus
Trichonephila clavipes,Trichonephila clavata
Steatoda grossa,Steatoda nobilis
Zygiella x-notata,Neoscona crucifera
Cupiennius salei,Phoneutria fera
Theridion grallator,Theridula emertoni
Argiope aurantia,Trichonephila clavipes
Linyphia triangularis,Neriene radiata
Dysdera crocata,Dysdera erythrina
Segestria florentina,Segestria senoculata
Amaurobius ferox,Amaurobius similis
Clubiona corticalis,Clubiona pallidula
Pardosa amentata,Pardosa pullata
Alopecosa pulverulenta,Trochosa terricola
Micrommata virescens,Cheiracanthium inclusum
Xysticus cristatus,Xysticus audax
Agelena labyrinthica,Allagelena gracilens
Aculepeira ceropegia,Araniella cucurbitina
Larinioides cornutus,Larinioides sclopetarius
Nuctenea umbratica,Nuctenea silvicultrix
Metellina segmentata,Metellina merianae
Tetragnatha extensa,Tetragnatha montana
Philodromus dispar,Philodromus aureolus
Anyphaena accentuata,Anyphaena sabina
Diaea dorsata,Synema globosum
Eratigena agrestis,Tegenaria ferruginea
Drassodes lapidosus,Drassodes cupreus
Eucarida,Peracarida
Eumalacostraca,Hoplocarida
Dardanus lagopodes,Dardanus megistos
Clibanarius infraspinatus,Clibanarius longitarsus
Portunus pelagicus,Portunus sanguinolentus
Atergatis floridus,Atergatis integerrimus
Urocaridella antonbruunii,Urocaridella pulchella
Tridacna crocea,Tridacna maxima
Tridacna maxima,Tridacna squamosa
Acanthosepion pharaonis,Ascarosepion latimanus
Cypraea tigris,Mauritia arabica
Sepiida,Myopsida
Neritimorpha,Heterobranchia
Vetigastropoda,Heterobranchia
Vetigastropoda,Caenogastropoda
Vetigastropoda,Patellogastropoda
Lissachatina immaculata,Lissachatina fulica
Unidentia aliciae,Unidentia angelvaldesi
Armina scotti,Armina semperi
Dermatobranchus fortunatus,Dermatobranchus striatus
Goniobranchus sinensis,Goniobranchus trimarginatus
Hypselodoris maculosa,Goniobranchus fidelis
Hypselodoris katherinae,Hypselodoris tryoni
Mexichromis mariei,Mexichromis multituberculata
Costasiella kuroshimae,Costasiella usagi
Coryphellina exoptata,Coryphellina rubrolineata
Phyllidia elegans,Phyllidia coelestis
Phyllidia elegans,Phyllidia picta
Phyllidia elegans,Phyllidia varicosa
Phyllidia coelestis,Phyllidia picta
Phyllidia coelestis,Phyllidia varicosa
Phyllidia varicosa,Phyllidia picta
Phyllidiella pustulosa,Phyllidiopsis krempfi
Plocamopherus imperialis,Plocamopherus tilesii
Elysia asbecki,Elysia tomentosa
Nudibranchia,Polycladida
Chromodoris magnifica,Chromodoris kuiteri
Hypselodoris bullockii,Hypselodoris infucata
Goniobranchus splendidus,Goniobranchus tinctorius
Felimare picta,Felimare villafranca
Glossodoris cincta,Glossodoris hikuerensis
Nembrotha kubaryana,Nembrotha cristata
Tambja morosa,Tambja verconis
Flabellinopsis iodinea,Edmundsella bertschi
Berghia coerulescens,Berghia verrucicornis
Doriopsilla areolata,Doriopsilla pelseneeri
Dendrodoris fumata,Dendrodoris nigra
Phyllidiella pustulosa,Phyllidiella nigra
Phyllodesmium longicirrum,Phyllodesmium briareum
Pteraeolidia ianthina,Pteraeolidia semperi
Candiella odhneri,Candiella plebeia
Antiopella cristata,Janolus hyalinus
Polycera quadrilineata,Polycera faeroensis
Diaphorodoris luteocincta,Diaphorodoris alba
Rostanga pulchra,Rostanga arbutus
Hexabranchus sanguineus,Hexabranchus morsomus
Cadlina laevis,Cadlina pellucida
Doto coronata,Doto pinnatifida
Trapania lineata,Trapania tartanella
Fromia monilis,Fromia heffernani
Pseudobiceros bedfordi,Acanthozoon
Octocorallia,Hexacorallia
Plerogyra sinuosa,Physogyra lichtensteini
Platygyra,Lobophyllia
Pocillopora,Millepora
Dendronephthya,Scleronephthya
Acropora millepora,Acropora hyacinthus
Acropora muricata,Acropora intermedia
Montipora digitata,Montipora verrucosa
Pachyseris foliosa,Pachyseris speciosa
Pavona cactus,Pavona decussata
Cyanea capillata,Versuriga anadyomene
Heteractis doreensis,Radianthus magnifica
Stichodactyla haddoni,Stichodactyla gigantea
Amplexidiscus fenestrafer,Rhodactis inchoata
Ctenophora,Scyphozoa
Stichopus chloronotus,Holothuria leucospilota
Amanita virosa,Agaricus campestris
Gyromitra,Morchella
Amanita muscaria,Amanita caesarea
Amanita phalloides,Amanita verna
